Etruscans,Italians
141,133
148,138
132,130
138,138
154,134
142,127
150,128
146,138
155,136
158,131
150,126
140,120
147,124
148,132
144,132
150,125
149,139
145,127
149,133
158,136
143,121
141,131
144,125
144,130
126,129
140,125
144,136
142,131
141,132
140,127
145,129
135,132
147,116
146,134
141,125
136,128
140,139
146,132
142,130
137,132
148,128
154,139
137,135
139,133
143,128
140,130
131,130
143,143
141,144
149,137
148,140
135,136
148,135
152,126
143,139
144,131
141,133
143,138
147,133
146,137
150,140
132,130
142,137
142,134
143,130
153,148
149,135
146,138
149,135
138,138
142,
149,
142,
137,
134,
144,
146,
147,
140,
142,
140,
137,
152,
145,
